Hotel Marina Bay Sands (SG Clean),9,8.5925
"Hotel Carlton Hotel Singapore (SG Clean, Staycation Approved)",8.8,9.2565
Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean),8.6,9.2225
"Hotel The Fullerton Hotel Singapore (SG Clean, Staycation Approved)",9.1,7.3075
"Hotel Pan Pacific Singapore (SG Clean, Staycation Approved)",9,5.2675
Hotel Hotel Boss (SG Clean),7.5,8.6835
Hotel Mandarin Orchard Singapore (SG Clean / Staycation Approved),8.4,8.834
"Condo Hotel Pan Pacific Serviced Suites Beach Road (SG Clean, Staycation Approved)",8.9,7
"Hotel PARKROYAL COLLECTION Pickering, Singapore (SG Clean,Staycation Approved)",9,6.6555
"Hotel M Social Singapore (SG Clean, Staycation Approved)",8.2,6.9025
Condo Hotel Citadines Balestier (SG Clean),8.9,9.1
"Hotel Four Seasons Hotel Singapore (SG Clean, Staycation Approved)",9.2,9.139
"Hotel The Ritz-Carlton, Millenia Singapore (SG Clean)",9.2,7.767
"Resort Amara Sanctuary Resort Sentosa (SG Clean, Staycation Approved)",7.4,6.688
"Hotel YOTEL Singapore Orchard Road (SG Clean, Staycation Approved)",8.6,8.063
Hotel Village Hotel Bugis by Far East Hospitality (SG Clean),7.9,8.983
Hotel Grand Hyatt Singapore (SG Clean),8.6,7.712
Hotel Andaz Singapore – A Concept by Hyatt (SG Clean),9.1,8.6085
"Hotel InterContinental Singapore (SG Clean), an IHG Hotel",8.7,6.897
Resort Sofitel Singapore Sentosa Resort & Spa (SG Clean),7.8,8.083
