"Hotel Four Seasons Hotel Singapore (SG Clean, Staycation Approved)",9.2
"Hotel The Ritz-Carlton, Millenia Singapore (SG Clean)",9.2
"Hotel The Fullerton Hotel Singapore (SG Clean, Staycation Approved)",9.1
Hotel Andaz Singapore â€“ A Concept by Hyatt (SG Clean),9.1
Hotel Marina Bay Sands (SG Clean),9
"Hotel Pan Pacific Singapore (SG Clean, Staycation Approved)",9
"Hotel PARKROYAL COLLECTION Pickering, Singapore (SG Clean,Staycation Approved)",9
"Condo Hotel Pan Pacific Serviced Suites Beach Road (SG Clean, Staycation Approved)",8.9
Condo Hotel Citadines Balestier (SG Clean),8.9
"Hotel Carlton Hotel Singapore (SG Clean, Staycation Approved)",8.8
